"","x"
"1189","MRTFB"
"1190","MSH2"
"1191","MSR1"
"1192","MST1"
"1193","MST1L"
"1194","MSTN"
"1195","MSX1"
"1196","MT3"
"1197","MTMR2"
"1198","MTURN"
"1199","multimerin2_human"
"1200","MUSK"
"1201","MUSTN1"
"1202","MYADM"
"1203","MYB"
"1204","MYC"
"1205","MYCL"
"1206","MYCN"
"1207","MYF5"
"1208","MYF6"
"1209","MYH10"
"1210","MYH14"
"1211","MYH6"
"1212","MYL9"
"1213","MYLK3"
"1214","MYO10"
"1215","MYO19"
"1216","MYO9A"
"1217","MYOC"
"1218","MYOCD"
"1219","MYOD1"
"1220","MYOG"
"1221","MYOZ1"
"1222","MYRF"
"1223","MYSM1"
"1224","N4BP2L2"
"1225","NAB1"
"1226","NAB2"
"1227","NAMPT"
"1228","NANOG"
"1229","NAP1L2"
"1230","NAPEPLD"
"1231","NBL1"
"1232","NBR1"
"1233","NCKAP1L"
"1234","NCMAP"
"1235","NCOA1"
"1236","NCOA3"
"1237","NDEL1"
"1238","NDFIP1"
"1239","NEDD4"
"1240","NEDD4L"
"1241","NEDD9"
"1242","NEFL"
"1243","NEK4"
"1244","NEK5"
"1245","NEK6"
"1246","NELL1"
"1247","NEPRO"
"1248","NEURL1"
"1249","NEUROD1"
"1250","NEUROD2"
"1251","NEUROD4"
"1252","NEUROG1"
"1253","NEUROG3"
"1254","NF1"
"1255","NF2"
"1256","NFAM1"
"1257","NFATC1"
"1258","NFATC2"
"1259","NFATC3"
"1260","NFATC4"
"1261","NFE2"
"1262","NFE2L2"
"1263","NFIB"
"1264","NFKB1"
"1265","NFKBIA"
"1266","NFKBID"
"1267","NFKBIZ"
"1268","NGEF"
"1269","NGF"
"1270","NGFR"
"1271","NIBAN2"
"1272","NIN"
"1273","NIPBL"
"1274","NKAP"
"1275","NKD1"
"1276","NKX2-1"
"1277","NKX2-2"
"1278","NKX2-5"
"1279","NKX3-1"
"1280","NKX3-2"
"1281","NKX6-1"
"1282","NKX6-2"
"1283","NKX6-3"
"1284","NLGN1"
"1285","NLGN2"
"1286","NLGN3"
"1287","NLN"
"1288","NLRP3"
"1289","NLRP5"
"1290","NME1"
"1291","NMRK2"
"1292","NOCT"
"1293","NODAL"
"1294","NOG"
"1295","NOS3"
"1296","NOTCH1"
"1297","NOTCH2"
"1298","NOTCH3"
"1299","NOTCH4"
"1300","NOTUM"
"1301","NPHP3"
"1302","NPNT"
"1303","NPPB"
"1304","NPPC"
"1305","NPR1"
"1306","NPR2"
"1307","NR1D1"
"1308","NR1D2"
"1309","NR1H3"
"1310","NR2C2"
"1311","NR2E1"
"1312","NR4A3"
"1313","NR5A1"
"1314","NRARP"
"1315","NRCAM"
"1316","NREP"
"1317","NRG1"
"1318","NRP1"
"1319","NRXN1"
"1320","NSD2"
"1321","NSMF"
"1322","NSUN2"
"1323","NSUN5"
"1324","NTF3"
"1325","NTF4"
"1326","NTN1"
"1327","NTN4"
"1328","NTNG1"
"1329","NTNG2"
"1330","NTRK1"
"1331","NTRK2"
"1332","NTRK3"
"1333","NUAK1"
"1334","NUMBL"
"1335","NUPR1"
"1336","OAS2"
"1337","OBSL1"
"1338","OCIAD1"
"1339","OCSTAMP"
"1340","ODAPH"
"1341","OLFM1"
"1342","OLFM2"
"1343","OLFM4"
"1344","OLIG2"
"1345","OMA1"
"1346","OMD"
"1347","OMG"
"1348","OPA1"
"1349","OPALIN"
"1350","OPRM1"
"1351","OSM"
"1352","OSR1"
"1353","OSR2"
"1354","OSTN"
"1355","OTP"
"1356","OTX2"
"1357","OVOL2"
"1358","OXT"
"1359","OXTR"
"1360","P2RX7"
"1361","P2RY1"
"1362","P2RY12"
"1363","P4HTM"
"1364","PACSIN1"
"1365","PAEP"
"1366","PAK1"
"1367","PAK2"
"1368","PAK3"
"1369","PAK4"
"1370","PALM"
"1371","PALM2"
"1372","PALM2AKAP2"
"1373","PALMD"
"1374","PARD3"
"1375","PARD6A"
"1376","PARP2"
"1377","PARP3"
"1378","PARP6"
"1379","PARVA"
"1380","PARVB"
"1381","PAWR"
"1382","PAX2"
"1383","PAX6"
"1384","PAX8"
"1385","PAX9"
"1386","PAXIP1"
"1387","PBX1"
"1388","PCK1"
"1389","PCP4"
"1390","PDCD2"
"1391","PDCD4"
"1392","PDCL3"
"1393","PDE3A"
"1394","PDE3B"
"1395","PDGFA"
"1396","PDGFB"
"1397","PDGFRA"
"1398","PDLIM5"
"1399","PDLIM7"
"1400","PDPN"
"1401","PDZD8"
"1402","PEAK3"
"1403","PER2"
"1404","PF4"
"1405","PGF"
"1406","PGK1"
"1407","PGLYRP1"
"1408","PGLYRP2"
"1409","PHB2"
"1410","PHIP"
"1411","PHLDA2"
"1412","PHLDB1"
