"","x"
"1261","ENPP2"
"1262","ENTPD7"
"1263","EOMES"
"1264","EP300"
"1265","EPAS1"
"1266","EPB41L3"
"1267","EPB41L5"
"1268","EPB42"
"1269","EPC1"
"1270","EPCAM"
"1271","EPGN"
"1272","EPHA1"
"1273","EPHA10"
"1274","EPHA2"
"1275","EPHA3"
"1276","EPHA4"
"1277","EPHA5"
"1278","EPHA6"
"1279","EPHA7"
"1280","EPHA8"
"1281","EPHB1"
"1282","EPHB2"
"1283","EPHB3"
"1284","EPHB4"
"1285","EPHB6"
"1286","EPN2"
"1287","EPO"
"1288","EPOP"
"1289","EPOR"
"1290","EPYC"
"1291","ERAP1"
"1292","ERBB2"
"1293","ERBB3"
"1294","ERBB4"
"1295","ERC1"
"1296","ERCC1"
"1297","ERCC2"
"1298","ERCC3"
"1299","ERCC6"
"1300","EREG"
"1301","ERG"
"1302","ERMARD"
"1303","ERO1A"
"1304","ERRFI1"
"1305","ESCO2"
"1306","ESM1"
"1307","ESR1"
"1308","ESRP1"
"1309","ESRP2"
"1310","ESRRA"
"1311","ESRRB"
"1312","ESS2"
"1313","ETNK2"
"1314","ETS1"
"1315","ETS2"
"1316","ETV1"
"1317","ETV2"
"1318","ETV4"
"1319","ETV5"
"1320","ETV6"
"1321","ETV7"
"1322","EURL"
"1323","EVC"
"1324","EVI2B"
"1325","EVL"
"1326","EVPL"
"1327","EVX1"
"1328","EVX2"
"1329","EXO1"
"1330","EXOC4"
"1331","EXOSC3"
"1332","EXOSC6"
"1333","EXPH5"
"1334","EXT1"
"1335","EXT2"
"1336","EXTL1"
"1337","EYA1"
"1338","EYA2"
"1339","EYA3"
"1340","EYA4"
"1341","EZH1"
"1342","EZH2"
"1343","EZR"
"1344","F11R"
"1345","F2"
"1346","F2RL1"
"1347","F3"
"1348","F7"
"1349","FA2H"
"1350","FABP7"
"1351","FADD"
"1352","FAIM"
"1353","FAIM2"
"1354","FAM126A"
"1355","FAM172A"
"1356","FAM20A"
"1357","FAM20C"
"1358","FAM210B"
"1359","FAM3C"
"1360","FAM83D"
"1361","FAM83H"
"1362","FAM92A"
"1363","FANCA"
"1364","FANCC"
"1365","FANCG"
"1366","FAP"
"1367","FARP1"
"1368","FARP2"
"1369","FASLG"
"1370","FASN"
"1371","FAT1"
"1372","FAT3"
"1373","FAT4"
"1374","FAXDC2"
"1375","FBLL1"
"1376","FBLN1"
"1377","FBN1"
"1378","FBN2"
"1379","FBXL15"
"1380","FBXL17"
"1381","FBXO31"
"1382","FBXO45"
"1383","FBXO5"
"1384","FBXO7"
"1385","FBXW11"
"1386","FBXW7"
"1387","FBXW8"
"1388","FCER1G"
"1389","FCGR2B"
"1390","FCRL3"
"1391","FERD3L"
"1392","FERMT1"
"1393","FERMT2"
"1394","FES"
"1395","FEV"
