"","x"
"985","GAS6"
"986","GATA1"
"987","GATA2"
"988","GATA3"
"989","GATA4"
"990","GATA5"
"991","GATA6"
"992","GBA"
"993","GBX1"
"994","GBX2"
"995","GCM1"
"996","GCM2"
"997","GCNT1"
"998","GCNT3"
"999","GCNT4"
"1000","GDF2"
"1001","GDF3"
"1002","GDF5"
"1003","GDF6"
"1004","GDF7"
"1005","GDF9"
"1006","GDNF"
"1007","GFER"
"1008","GFI1"
"1009","GFI1B"
"1010","GGNBP2"
"1011","GH1"
"1012","GH2"
"1013","GHR"
"1014","GHRH"
"1015","GHRHR"
"1016","GHRL"
"1017","GHSR"
"1018","GIGYF2"
"1019","GIP"
"1020","GIPR"
"1021","GIT1"
"1022","GJA1"
"1023","GJA5"
"1024","GJA8"
"1025","GJB2"
"1026","GJB3"
"1027","GJB5"
"1028","GJB6"
"1029","GJC1"
"1030","GJC2"
"1031","GJE1"
"1032","GLI1"
"1033","GLI2"
"1034","GLI3"
"1035","GLIS2"
"1036","GLUD1"
"1037","GMNN"
"1038","GNA11"
"1039","GNAI3"
"1040","GNAO1"
"1041","GNAS"
"1042","GNAT1"
"1043","GNB4"
"1044","GNG12"
"1045","GNG8"
"1046","GNGT1"
"1047","GNPNAT1"
"1048","GON4L"
"1049","GORAB"
"1050","GOT2"
"1051","GP1BA"
"1052","GPC3"
"1053","GPCPD1"
"1054","GPLD1"
"1055","GPM6A"
"1056","GPNMB"
"1057","GPR137"
"1058","GPR137B"
"1059","GPR149"
"1060","GPR171"
"1061","GPR18"
"1062","GPR183"
"1063","GPR4"
"1064","GPR55"
"1065","GPR68"
"1066","GPR89A"
"1067","GPR89B"
"1068","GPS2"
"1069","GREB1L"
"1070","GREM1"
"1071","GREM2"
"1072","GRHL1"
"1073","GRHL2"
"1074","GRHL3"
"1075","GRID2"
"1076","GRIN1"
"1077","GRIN2A"
"1078","GRIN2B"
"1079","GRIN2C"
"1080","GRIN2D"
"1081","GRM6"
"1082","GRXCR1"
"1083","GRXCR2"
"1084","GSC"
"1085","GSDME"
"1086","GSK3B"
"1087","GSTP1"
"1088","GSX1"
"1089","GSX2"
"1090","GTF3C5"
"1091","GYS1"
"1092","GZF1"
"1093","H2AX"
"1094","H2BS1"
"1095","H3-3A"
"1096","H3-5"
"1097","H3C1"
"1098","H3C13"
"1099","H4-16"
"1100","HAMP"
"1101","HAND1"
"1102","HAND2"
"1103","HAP1"
"1104","HAS2"
"1105","HBEGF"
"1106","HCCS"
"1107","HCLS1"
"1108","HCN1"
"1109","HCN4"
"1110","HDAC1"
"1111","HDAC2"
"1112","HDAC4"
"1113","HDAC5"
"1114","HDAC9"
"1115","HECA"
"1116","HEG1"
"1117","HERC1"
"1118","HES1"
"1119","HES5"
"1120","HESX1"
"1121","HEY1"
"1122","HEY2"
"1123","HEYL"
"1124","HFE"
"1125","HGF"
"1126","HHEX"
"1127","HHIP"
"1128","HIF1A"
"1129","HIKESHI"
"1130","HIPK2"
"1131","HIVEP3"
"1132","HK2"
"1133","HLA-DOA"
"1134","HLA-DRA"
"1135","HLA-DRB1"
"1136","HLA-G"
"1137","HLF"
"1138","HLX"
"1139","HMG20B"
"1140","HMGA2"
"1141","HMGCL"
"1142","HMGCR"
"1143","HMGCS1"
"1144","HMGN1"
"1145","HMOX1"
"1146","HMX2"
"1147","HMX3"
"1148","HNF1A"
"1149","HNF1B"
"1150","HNF4A"
"1151","HNMT"
